date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,n_submissions,n_contributors,source_mix,status,method_version,snapshot_id
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd,#meta+count,#meta+contributors,#meta+sources,#status+code,#meta+method,#meta+snapshot
2026-04-27,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,84.31,0.6022,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,cereals and tubers,Wheat,KG,actual,Retail,ETB,50.51,0.3608,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,cereals and tubers,Maize,KG,actual,Retail,ETB,34.17,0.2441,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,vegetables and fruits,Onion,KG,actual,Retail,ETB,32.37,0.2312,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,oil and fats,Cooking oil,L,actual,Retail,ETB,142.65,1.0189,4,3,agent:3|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,79.36,0.5669,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,cereals and tubers,Wheat,KG,actual,Retail,ETB,55.01,0.3929,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,cereals and tubers,Maize,KG,actual,Retail,ETB,35.97,0.2569,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,vegetables and fruits,Onion,KG,actual,Retail,ETB,33.06,0.2361,4,3,agent:3|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,oil and fats,Cooking oil,L,actual,Retail,ETB,146.50,1.0464,4,3,agent:3|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,87.18,0.6227,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,cereals and tubers,Wheat,KG,actual,Retail,ETB,,,1,1,agent:1,insufficient_data,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,cereals and tubers,Maize,KG,actual,Retail,ETB,36.60,0.2614,4,3,agent:3|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,vegetables and fruits,Onion,KG,actual,Retail,ETB,29.63,0.2116,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,oil and fats,Cooking oil,L,actual,Retail,ETB,140.38,1.0027,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,87.19,0.6228,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,cereals and tubers,Wheat,KG,actual,Retail,ETB,56.06,0.4004,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,cereals and tubers,Maize,KG,actual,Retail,ETB,36.44,0.2603,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,vegetables and fruits,Onion,KG,actual,Retail,ETB,33.44,0.2389,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,oil and fats,Cooking oil,L,actual,Retail,ETB,147.67,1.0548,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Saris,8.9797,38.7622,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,87.19,0.6228,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Saris,8.9797,38.7622,cereals and tubers,Wheat,KG,actual,Retail,ETB,55.39,0.3956,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Saris,8.9797,38.7622,cereals and tubers,Maize,KG,actual,Retail,ETB,36.56,0.2611,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Saris,8.9797,38.7622,vegetables and fruits,Onion,KG,actual,Retail,ETB,,,0,0,,insufficient_data,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Saris,8.9797,38.7622,oil and fats,Cooking oil,L,actual,Retail,ETB,149.45,1.0675,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Akaki,8.8939,38.8069,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,87.87,0.6276,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Akaki,8.8939,38.8069,cereals and tubers,Wheat,KG,actual,Retail,ETB,57.50,0.4107,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Akaki,8.8939,38.8069,cereals and tubers,Maize,KG,actual,Retail,ETB,37.84,0.2703,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Akaki,8.8939,38.8069,vegetables and fruits,Onion,KG,actual,Retail,ETB,34.41,0.2458,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Akaki,8.8939,38.8069,oil and fats,Cooking oil,L,actual,Retail,ETB,153.37,1.0955,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Kera,8.9994,38.7481,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,,,0,0,,insufficient_data,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Kera,8.9994,38.7481,cereals and tubers,Wheat,KG,actual,Retail,ETB,57.27,0.4091,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Kera,8.9994,38.7481,cereals and tubers,Maize,KG,actual,Retail,ETB,38.34,0.2739,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Kera,8.9994,38.7481,vegetables and fruits,Onion,KG,actual,Retail,ETB,35.34,0.2524,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Kera,8.9994,38.7481,oil and fats,Cooking oil,L,actual,Retail,ETB,156.95,1.1211,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Shola Gebeya,9.0244,38.7986,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,92.69,0.6621,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Shola Gebeya,9.0244,38.7986,cereals and tubers,Wheat,KG,actual,Retail,ETB,59.33,0.4238,4,3,agent:3|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Shola Gebeya,9.0244,38.7986,cereals and tubers,Maize,KG,actual,Retail,ETB,39.09,0.2792,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Shola Gebeya,9.0244,38.7986,vegetables and fruits,Onion,KG,actual,Retail,ETB,37.55,0.2682,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Shola Gebeya,9.0244,38.7986,oil and fats,Cooking oil,L,actual,Retail,ETB,157.19,1.1228,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Piazza,9.0356,38.7522,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,97.48,0.6963,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Piazza,9.0356,38.7522,cereals and tubers,Wheat,KG,actual,Retail,ETB,60.27,0.4305,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Piazza,9.0356,38.7522,cereals and tubers,Maize,KG,actual,Retail,ETB,39.68,0.2834,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Piazza,9.0356,38.7522,vegetables and fruits,Onion,KG,actual,Retail,ETB,36.93,0.2638,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-27,Addis Ababa,Addis Ababa,Piazza,9.0356,38.7522,oil and fats,Cooking oil,L,actual,Retail,ETB,162.11,1.1579,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,83.98,0.5999,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,cereals and tubers,Wheat,KG,actual,Retail,ETB,50.78,0.3627,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,cereals and tubers,Maize,KG,actual,Retail,ETB,34.15,0.2439,9,6,agent:7|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,vegetables and fruits,Onion,KG,actual,Retail,ETB,32.65,0.2332,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Merkato,9.0341,38.7395,oil and fats,Cooking oil,L,actual,Retail,ETB,142.98,1.0213,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,79.40,0.5671,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,cereals and tubers,Wheat,KG,actual,Retail,ETB,54.57,0.3898,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,cereals and tubers,Maize,KG,actual,Retail,ETB,36.50,0.2607,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,vegetables and fruits,Onion,KG,actual,Retail,ETB,,,2,2,agent:2,insufficient_data,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Ehil Berenda,9.0333,38.7389,oil and fats,Cooking oil,L,actual,Retail,ETB,146.14,1.0439,7,5,agent:5|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,87.67,0.6262,8,5,agent:6|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,cereals and tubers,Wheat,KG,actual,Retail,ETB,55.63,0.3974,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,cereals and tubers,Maize,KG,actual,Retail,ETB,36.85,0.2632,4,3,agent:3|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,vegetables and fruits,Onion,KG,actual,Retail,ETB,30.07,0.2148,3,2,agent:2|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Atikilt Tera,9.03,38.745,oil and fats,Cooking oil,L,actual,Retail,ETB,140.99,1.0071,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,cereals and tubers,Teff (mixed),KG,actual,Retail,ETB,85.80,0.6129,5,3,agent:4|user:1,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,cereals and tubers,Wheat,KG,actual,Retail,ETB,56.02,0.4001,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
2026-04-28,Addis Ababa,Addis Ababa,Asko,9.0489,38.6889,cereals and tubers,Maize,KG,actual,Retail,ETB,36.58,0.2613,6,4,agent:4|user:2,published,waga-index-v1,snap_2026-07-25T06_v1
